chunk_id,source_file,category,word_count,chunk_text
0,Significant%20Digits.txt,PDF,512,Significant Digits Significant digits are widely used in science to communicate the preciseness of a...
1,Significant%20Digits.txt,PDF,378,the preciseness of this measurement. The 0s are simply place holders. Rule 6 A zero digit with a dot...
2,energy-consumption-2013.txt,PDF,150,Energy Consumption and Greenhouse Gas Emissions Reporting ‐ for 2013 Natural Gas Total Floor Area El...
3,george_brown_annual_report_2007-2008.txt,PDF,512,SHAPING OUR FUTURE ANNUAL REPORT 2007-2008 ANNUAL REPORT 2007-2008 | 1 The Path to Leadership Inspir...
4,george_brown_annual_report_2007-2008.txt,PDF,512,the cusp of major expansion – a great step forward offering extraordinary opportunities for students...
5,george_brown_annual_report_2007-2008.txt,PDF,512,"Brown College is one of Canada’s largest and most highly respected colleges, serving a diverse and v..."
6,george_brown_annual_report_2007-2008.txt,PDF,512,two blocks of land just south of its St. James campus on Queen’s Quay between Lower Sherbourne and L...
7,george_brown_annual_report_2007-2008.txt,PDF,512,on practice in a variety of pediatric cardiac settings. (cid:129) CANUHOME. The Institute without Bo...
8,george_brown_annual_report_2007-2008.txt,PDF,512,"saying All of this, coupled with an industry-connected faculty that includes dual professionals – hi..."
9,george_brown_annual_report_2007-2008.txt,PDF,512,"number of awards, including the National Institute for Staff and Organizational Development’s Teachi..."
10,george_brown_annual_report_2007-2008.txt,PDF,512,"real-life, community-based problems – continued to excel in their second year, earning national awar..."
11,george_brown_annual_report_2007-2008.txt,PDF,512,was considered best for delivery of job opportunities for graduates. ANNUAL REPORT 2007-2008 | 15 Fi...
12,george_brown_annual_report_2007-2008.txt,PDF,177,Continue implementation of process improvements linked to Academic Strategy POSITIONING (cid:129) Op...
13,Articles%20-%20Practice%203.txt,PDF,451,"Articles – Practice 3 Exercise Add articles (a or the) as needed. In certain cases, no article is ne..."
14,gbc-philosophy.txt,PDF,512,George Brown College’s Lab School Philosophy CHILDREN REQUIRE ENVIRONMENTS THAT RESPECT WHO THEY ARE...
15,gbc-philosophy.txt,PDF,512,"from the world and feel confident to explore it. To establish security while in child care, early ch..."
16,gbc-philosophy.txt,PDF,434,"is in this high quality program experience that children think, express feelings, define what is fai..."
17,sa.txt,PDF,512,SA: STUDENT AFFAIRS Records related to student affairs from application to graduation. Acts & Regula...
18,sa.txt,PDF,512,Student Registrations Registrar's Office C + 1 54 55 FIPPA; Limitations Act; Post- secondary Educati...
19,sa.txt,PDF,512,before calculating retention) SA013 Academic Status Registrar's Office T + 1 P P FIPPA; Limitations ...
20,sa.txt,PDF,468,"disciplinary documents, etc. C = Current Year P = Permanent S = Until Superceded / Obsolete T = Term..."
21,Reported%20Speech.txt,PDF,512,Reported Speech We use reported speech when we wish to report what someone else has said without usi...
22,Reported%20Speech.txt,PDF,310,"*______ three languages fluently. 2. Harry said, “Last month, I worked 100 hours.” Harry said *_____..."
23,plan-2019-2022.txt,PDF,512,Sustainability Plan 2019 Table of Contents Acknowledgments ............................................
24,plan-2019-2022.txt,PDF,512,Engagement — Collaborating and innovating to develop best practices for a sustainable future. 1. SUS...
25,plan-2019-2022.txt,PDF,512,"to • Provide a carbon footprint management tool to educate staff and students promote buy-in, behavi..."
26,plan-2019-2022.txt,PDF,512,"of of funding for sustainability initiatives, (e.g., sustainability as it applies to their area redi..."
27,plan-2019-2022.txt,PDF,512,both internally and with the supplier community. • Number of vendors engaged. • Quality of responses...
28,plan-2019-2022.txt,PDF,512,Arts (CHCA) printer behaviour at the College and devise strategies to reduce printing. – Implement C...
29,plan-2019-2022.txt,PDF,276,"and educate the College and passive energy solutions. community to use materials efficiently, • Repl..."
30,george_brown_college_strategic_mandate_agreement.txt,PDF,512,".. Strategic Mandate Agreement (2014-17) Between: The Ministry of Training, Colleges and Universitie..."
31,george_brown_college_strategic_mandate_agreement.txt,PDF,512,"in writing, dated, and signed by both signatories. GEORGE BROWN COLLEGE KEY AREAS OF DIFFERENTIATION..."
32,george_brown_college_strategic_mandate_agreement.txt,PDF,512,continually improve graduate employment include: - Increase in applied research projects as experien...
33,george_brown_college_strategic_mandate_agreement.txt,PDF,512,"2,635 students enrolled in a program with a cooperative education component, which is the highest in..."
34,george_brown_college_strategic_mandate_agreement.txt,PDF,512,groups in the areas of: • Deaf students - through the Deaf Learn Now program. • People with mental i...
35,george_brown_college_strategic_mandate_agreement.txt,PDF,512,Comments • The Ministry notes that George Brown plans to expand in its areas of strength by 25 progr...
36,george_brown_college_strategic_mandate_agreement.txt,PDF,512,The Ministry recognizes the importance of supporting institutions to evolve and acknowledges the str...
37,george_brown_college_strategic_mandate_agreement.txt,PDF,373,"of affordable, high-quality postsecondary education options, now and in the future; and • The Colleg..."
38,bog-public-minutes_february-12-2014.txt,PDF,512,THE GEORGE BROWN COLLEGE OF APPLIED ARTS AND TECHNOLOGY BOARD OF GOVERNORS PUBLIC SESSION MINUTES FE...
39,bog-public-minutes_february-12-2014.txt,PDF,512,considerations. Overall the Board felt the strategy is an excellent piece of work. Luigi was thanked...
40,bog-public-minutes_february-12-2014.txt,PDF,512,the short response time for the last draft of the strategic mandate agreement. Board of Governors Fe...
41,bog-public-minutes_february-12-2014.txt,PDF,512,sustained employment for our Augmented Education program graduates. - There is a verbal commitment f...
42,bog-public-minutes_february-12-2014.txt,PDF,185,"postsecondary institutions are being encouraged. - Minister of Infrastructure and Transportation, Gl..."
43,Assessment_of_Student_Learning__Policy_2.txt,PDF,512,George Brown College Assessment of Student Learning Policy Category: Academic Policy Number: A006 Re...
44,Assessment_of_Student_Learning__Policy_2.txt,PDF,512,"A statement of basic principles, rules, regulations and/or guidelines, developed Policy and enforced..."
45,Assessment_of_Student_Learning__Policy_2.txt,PDF,512,the calculation of the final course grade. 2.5 Participation may account for a maximum of 10% of the...
46,Assessment_of_Student_Learning__Policy_2.txt,PDF,512,right to review any written assessment or examination for which they have received a mark. 3.0 Asses...
47,Assessment_of_Student_Learning__Policy_2.txt,PDF,512,assessment is the minimum passing grade in the course. 5.4 A student may only be granted one supplem...
48,Assessment_of_Student_Learning__Policy_2.txt,PDF,282,to the faculty member Action: The faculty member responds to the student’s inquiry and sets up a mee...
49,Passive%20Voice%20-%20BY%20phrase.txt,PDF,512,Passive Voice – ‘BY’ Phrase Did you ever wonder why some passive voice sentences have the “by” phras...
50,Passive%20Voice%20-%20BY%20phrase.txt,PDF,192,the Nobel Prize for literature. 3. The sanctions imposed on his country by Norway made it impossible...
51,web-governance.txt,PDF,512,Web Governance Policy Category: GA Policy Number: 002 Responsible Authority: Web Publishing Manager ...
52,web-governance.txt,PDF,512,"a constant basis to keep up with user trends, aging hardware and software and new device and platfor..."
53,web-governance.txt,PDF,512,"2.1 Home Page While many different audiences access the homepage, its primary target audience is pro..."
54,web-governance.txt,PDF,512,Director ITS 1.8 Any potential redesign of the website requires the approval of the VP Marketing and...
55,web-governance.txt,PDF,186,"Governance Committee to ensure compliance around web content, web development and maintenance. Conte..."
56,Articles%20-%20Practice%202.txt,PDF,512,"Articles – Practice 2 Exercise Insert the article (a, an, or the) into the blank. In certain cases, ..."
57,Articles%20-%20Practice%202.txt,PDF,512,"monkeys, some of which are wandering freely on * outskirts of Kuala Lumpur. There are also snakes, s..."
58,Articles%20-%20Practice%202.txt,PDF,336,| Visit us at www.georgebrown.ca/tlc To the north of Singapore is the country of Malaysia. x Malaysi...
59,energy-consumption-2012.txt,PDF,150,Energy Consumption and Greenhouse Gas Emissions Reporting ‐ for 2012 Natural Gas Total Floor Area El...
60,emergency-response-policy-for-lockdown.txt,PDF,512,"Emergency Response Policy for Lockdown, Hold and Secure, & Shelter in Place Category: Policy Number:..."
61,emergency-response-policy-for-lockdown.txt,PDF,512,"within a campus building, posing an immediate threat to staff and students. Normal operations immedi..."
62,emergency-response-policy-for-lockdown.txt,PDF,512,safety risks are minimised when members come forward with information or concerns as soon as possibl...
63,emergency-response-policy-for-lockdown.txt,PDF,512,completed at each campus in the first two weeks of classes in each fall and winter term. Staff and s...
64,emergency-response-policy-for-lockdown.txt,PDF,512,"to ensure that our students are kept safe. Supervisors, managers and administrators also bear a resp..."
65,emergency-response-policy-for-lockdown.txt,PDF,512,"can safely move to another office or classroom which can be secured.  To the extent possible, all i..."
66,emergency-response-policy-for-lockdown.txt,PDF,512,"movement or activities will apply. If there is a violent crime scene associated with the lockdown, o..."
67,emergency-response-policy-for-lockdown.txt,PDF,512,which case information would be provided by Toronto Police on that process and where to meet. If a b...
68,emergency-response-policy-for-lockdown.txt,PDF,512,"Where possible, all exterior doors will have a security member or designated warden stationed nearby..."
69,emergency-response-policy-for-lockdown.txt,PDF,512,Security team will initiate the sending of ENS messaging clearly and repeatedly stating that the Hol...
70,emergency-response-policy-for-lockdown.txt,PDF,370,Security of the Campus Security Shelter in Place status and given all information pertaining to the ...
71,Collections-Management-Policy.txt,PDF,512,"Collections Management Policy Library Mission Statement ""The Library Learning Commons is an innovati..."
72,Collections-Management-Policy.txt,PDF,512,to be captioned. Please see research guides: Accessible Library Services and Captioned Media & E-tex...
73,Collections-Management-Policy.txt,PDF,512,"to copyright considerations. Whenever possible, the Library will acquire at least one copy of book p..."
74,Collections-Management-Policy.txt,PDF,512,"importance to college programs. For all other missing items, replacement will depend on factors such..."
75,Collections-Management-Policy.txt,PDF,512,the Request for Database Evaluation Form. Due to the costs and technical supports required the crite...
76,Collections-Management-Policy.txt,PDF,512,a copyright date more recent than 10 years. Weeding the collection is seen as a professional respons...
77,Collections-Management-Policy.txt,PDF,151,on Internet Access To underlie the importance of intellectual inquiry the library supports free acce...
78,Dual-Credit-College-Consent-Form-Online-Version-2020_0.txt,PDF,462,Dual Credit Program Consent Form Image Release I hereby grant to George Brown College (the “College”...
79,Building-Connections-Community-Engagement-Award-Nomination-Form-2023.txt,PDF,441,BUILDING CONNECTIONS COMMUNITY ENGAGEMENT AWARD NOMINATION FORM 2023 The Building Connections Commun...
80,bog_public_minutes_12sept12.txt,PDF,512,THE GEORGE BROWN COLLEGE OF APPLIED ARTS AND TECHNOLOGY BOARD OF GOVERNORS PUBLIC SESSION MINUTES SE...
81,bog_public_minutes_12sept12.txt,PDF,512,list has been distributed to the members. Please review and if anyone has any questions or requests ...
82,bog_public_minutes_12sept12.txt,PDF,512,to prepare a strategic mandate agreement (SMA) that outlines how we plan to achieve significant impr...
83,bog_public_minutes_12sept12.txt,PDF,512,the budget approved by the board. Staff Success  President’s Breakfast - The 9th Annual President’s...
84,bog_public_minutes_12sept12.txt,PDF,261,"President’s Academy hosted by ACCC held in Banff, AB. She facilitated a TED (Technology, Entertainme..."
85,fees-policy.txt,PDF,512,Fee Policy 1. A $200 deposit for full fee paying families and a $25.00 deposit for families on subsi...
86,fees-policy.txt,PDF,201,will be charged 1 LATE FEES 1. Families will be charged for pick-up after stated closing time. 2. Fa...
87,Phrasal%20Verbs%20-%20Practice.txt,PDF,512,Phrasal Verbs - Practice Exercise Rewrite the following statements by replacing the specified phrasa...
88,Phrasal%20Verbs%20-%20Practice.txt,PDF,178,"ten dollars. 5. The applicant exuded an air of arrogance. 6. While crossing the street, you should a..."
89,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,"Ministry of Training, Colleges and Universities Colleges of Applied Arts and Technology Policy Frame..."
90,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,transition or apprenticeship programs. Individual students may belong to more than one group. In the...
91,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,"of this 3-phase initiative, we have surpassed our Students Strategy goal of reaching 1,000 First Gen..."
92,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,line): 59% 2007: 57% 2008: 62% Disability Services - # of students reporting a disability(ies) 2006-...
93,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,"aid, as set out in the 2007-2008 Student X Access Guarantee Guidelines If you answered no, please ex..."
94,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,as part of your participation in the student access Institutional bursaries through the tuition set ...
95,george-brown-college-myaa-report-back-2007-08-final-mtcu.txt,PDF,512,are denied further assistance only in circumstances where the student is responsible for lack of fun...
